date,ticker,entry_price,current_price,shares,direction,entry_date,signal_score
2026-03-24,INTC,43.9900016784668,43.9900016784668,1.0,LONG,2026-03-24,1.4756754442892972
2026-03-24,AMD,204.17999267578125,204.17999267578125,1.0,LONG,2026-03-24,1.406708359031625
2026-03-24,AVGO,319.30499267578125,319.30499267578125,1.0,LONG,2026-03-24,1.4028451328629647
2026-03-24,UNH,273.2049865722656,273.2049865722656,1.0,LONG,2026-03-24,1.246374108130019
2026-03-24,ORCL,148.4600067138672,148.4600067138672,1.0,LONG,2026-03-24,1.0488017402064294
2026-03-24,AMZN,208.11000061035156,208.11000061035156,1.0,LONG,2026-03-24,0.845695508198703
2026-03-24,NVDA,175.75,175.75,1.0,LONG,2026-03-24,0.8233420096459971
2026-03-24,NKE,53.94499969482422,53.94499969482422,1.0,LONG,2026-03-24,0.8114872669345506
2026-03-24,GOOG,292.9200134277344,292.9200134277344,1.0,LONG,2026-03-24,0.691037541415882
2026-03-24,BAC,48.25,48.25,1.0,LONG,2026-03-24,0.6500938640494335
2024-01-15,SMCI,,,,LONG,2024-01-15,2.0161200116152043
2024-01-15,PLTR,,,,LONG,2024-01-15,1.4738192831956016
2024-01-15,CCL,,,,LONG,2024-01-15,1.4407339819561755
2024-01-15,MRNA,,,,LONG,2024-01-15,1.1895959034813002
2024-01-15,PANW,,,,LONG,2024-01-15,1.1308046858713698
2024-01-15,APA,,,,LONG,2024-01-15,1.1054487316849064
2024-01-15,TSLA,,,,LONG,2024-01-15,1.1010636454416036
2024-01-15,MU,,,,LONG,2024-01-15,1.100243704553526
2024-01-15,TTD,,,,LONG,2024-01-15,1.0953106308967886
2024-01-15,CARR,,,,LONG,2024-01-15,1.082271825871817
2026-03-25,GLW,,,,LONG,2026-03-25,1.7529082811498626
2026-03-25,MU,,,,LONG,2026-03-25,1.5861395720488192
2026-03-25,COHR,,,,LONG,2026-03-25,1.5762253739654197
2026-03-25,LRCX,,,,LONG,2026-03-25,1.4041626785674908
2026-03-25,CNC,,,,LONG,2026-03-25,1.322764556073177
2026-03-25,PSKY,,,,LONG,2026-03-25,1.2802755305107631
2026-03-25,MRNA,,,,LONG,2026-03-25,1.086582113242341
2026-03-25,VRT,,,,LONG,2026-03-25,1.0386508924136626
2026-03-25,AMAT,,,,LONG,2026-03-25,1.0121959910325244
2026-03-25,LUV,,,,LONG,2026-03-25,1.011246835264098
