feature_name,IC_lag1,IC_lag3,IC_lag5,IC_lag10,t_stat,stable,verdict
dist_52w_high,-0.0062744317947525125,-0.01771342731378962,-0.021702884126177758,-0.030669133016225116,-3.3638842238701865,True,SKIP
ret_5d_change,-0.0019241960424403375,-0.010588921269370595,-0.010791892210237528,-0.015502835834478831,-1.9210781707352187,True,SKIP
vol_ratio_5_20,-0.004071252923150845,-0.0018660607029432113,-0.0004670856254932218,0.000187944444817293,-0.10382395770374343,False,SKIP
vol_trend,-0.006736113603037732,-0.011602558386719043,-0.020545432809226428,-0.029576836130262785,-4.5616568264739,True,SKIP
pv_divergence,-0.0023184295157007502,-0.00029899721685411,-0.005416531511269229,-0.003234709136071041,-1.063736083173494,True,SKIP
price_zscore,-0.004574574798063336,-0.013208121409599063,-0.01353684234275079,-0.012585952900321768,-2.6916719846866375,True,SKIP
streak,-0.0037052104523338245,-0.009926130434792672,-0.013877580519981001,-0.015772436182135818,-3.0304252569660792,True,SKIP
return_rank_5d,-0.006898691182935148,-0.016239805328746058,-0.016688845554318897,-0.016861685285396773,-3.089169853178458,True,SKIP
vol_rank,0.018249366310590452,0.0365506809031416,0.04267898969011763,0.05770674149773639,6.963085700495378,True,ADD
