ticker,adv,first_date,last_date,path
NVDA,195243358.0,2011-11-28,2026-03-25,data/cache/ohlcv/NVDA.parquet
SPY,96812489.55,2011-11-28,2026-03-25,data/cache/ohlcv/SPY.parquet
INTC,84987428.35,2011-11-28,2026-03-25,data/cache/ohlcv/INTC.parquet
F,65170862.8,2016-11-28,2026-03-25,data/cache/ohlcv/F.parquet
TSLA,60585841.6,2011-11-28,2026-03-25,data/cache/ohlcv/TSLA.parquet
NFLX,52208870.4,2016-11-28,2026-03-25,data/cache/ohlcv/NFLX.parquet
PLTR,49654122.85,2020-09-30,2026-03-25,data/cache/ohlcv/PLTR.parquet
BAC,47086795.9,2011-11-28,2026-03-25,data/cache/ohlcv/BAC.parquet
QQQ,45451645.0,2011-11-28,2024-01-30,data/cache/ohlcv/QQQ.parquet
AMZN,45280937.55,2011-11-28,2026-03-25,data/cache/ohlcv/AMZN.parquet
T,45128434.1,2016-11-28,2026-03-25,data/cache/ohlcv/T.parquet
SMCI,44432670.2,2016-11-28,2026-03-25,data/cache/ohlcv/SMCI.parquet
MU,41937911.85,2016-11-28,2026-03-25,data/cache/ohlcv/MU.parquet
PFE,41773645.45,2011-11-28,2026-03-25,data/cache/ohlcv/PFE.parquet
AAPL,41261027.4,2011-11-28,2026-03-25,data/cache/ohlcv/AAPL.parquet
IWM,40903360.0,2011-11-28,2024-01-30,data/cache/ohlcv/IWM.parquet
CMCSA,37849956.55,2016-11-28,2026-03-25,data/cache/ohlcv/CMCSA.parquet
MSFT,33277806.3,2011-11-28,2026-03-25,data/cache/ohlcv/MSFT.parquet
AMD,32705154.9,2011-11-28,2026-03-25,data/cache/ohlcv/AMD.parquet
AVGO,30460926.7,2011-11-28,2026-03-25,data/cache/ohlcv/AVGO.parquet
WBD,30300773.9,2016-11-28,2026-03-25,data/cache/ohlcv/WBD.parquet
CCL,30294384.65,2016-11-28,2026-03-25,data/cache/ohlcv/CCL.parquet
HBAN,29941620.1,2016-11-28,2026-03-25,data/cache/ohlcv/HBAN.parquet
ORCL,29928095.05,2011-11-28,2026-03-25,data/cache/ohlcv/ORCL.parquet
GOOGL,29898535.4,2016-11-28,2026-03-25,data/cache/ohlcv/GOOGL.parquet
VZ,27508406.85,2016-11-28,2026-03-25,data/cache/ohlcv/VZ.parquet
HOOD,26854581.65,2021-07-29,2026-03-25,data/cache/ohlcv/HOOD.parquet
TTD,25588355.5,2016-11-28,2026-03-25,data/cache/ohlcv/TTD.parquet
KVUE,25473076.6,2023-05-04,2026-03-25,data/cache/ohlcv/KVUE.parquet
PCG,24640484.6,2016-11-28,2026-03-25,data/cache/ohlcv/PCG.parquet
CSCO,24296961.3,2011-11-28,2026-03-25,data/cache/ohlcv/CSCO.parquet
XOM,24241868.65,2011-11-28,2026-03-25,data/cache/ohlcv/XOM.parquet
NCLH,23963900.8,2016-11-28,2026-03-25,data/cache/ohlcv/NCLH.parquet
WMT,21645407.55,2011-11-28,2026-03-25,data/cache/ohlcv/WMT.parquet
SLB,21491430.2,2016-11-28,2026-03-25,data/cache/ohlcv/SLB.parquet
OXY,21306697.4,2016-11-28,2026-03-25,data/cache/ohlcv/OXY.parquet
HPE,21137320.15,2016-11-28,2026-03-25,data/cache/ohlcv/HPE.parquet
AES,20286223.25,2016-11-28,2026-03-25,data/cache/ohlcv/AES.parquet
PYPL,20286146.2,2016-11-28,2026-03-25,data/cache/ohlcv/PYPL.parquet
GOOG,20138260.9,2011-11-28,2026-03-25,data/cache/ohlcv/GOOG.parquet
WFC,20131897.4,2016-11-28,2026-03-25,data/cache/ohlcv/WFC.parquet
FCX,19954542.5,2016-11-28,2026-03-25,data/cache/ohlcv/FCX.parquet
HPQ,18976896.85,2016-11-28,2026-03-25,data/cache/ohlcv/HPQ.parquet
UBER,18950260.35,2019-05-10,2026-03-25,data/cache/ohlcv/UBER.parquet
DVN,18771582.2,2016-11-28,2026-03-25,data/cache/ohlcv/DVN.parquet
PSKY,18554987.55,2016-11-28,2026-03-25,data/cache/ohlcv/PSKY.parquet
HAL,18035115.05,2016-11-28,2026-03-25,data/cache/ohlcv/HAL.parquet
KHC,17493318.4,2016-11-28,2026-03-25,data/cache/ohlcv/KHC.parquet
NOW,17375170.4,2016-11-28,2026-03-25,data/cache/ohlcv/NOW.parquet
KO,17373890.1,2016-11-28,2026-03-25,data/cache/ohlcv/KO.parquet
KEY,17257864.05,2016-11-28,2026-03-25,data/cache/ohlcv/KEY.parquet
CMG,16907529.75,2016-11-28,2026-03-25,data/cache/ohlcv/CMG.parquet
C,16387367.65,2016-11-28,2026-03-25,data/cache/ohlcv/C.parquet
RF,16248305.8,2016-11-28,2026-03-25,data/cache/ohlcv/RF.parquet
DOW,16003663.3,2019-03-20,2026-03-25,data/cache/ohlcv/DOW.parquet
DAL,15764087.0,2016-11-28,2026-03-25,data/cache/ohlcv/DAL.parquet
NKE,15741782.95,2011-11-28,2026-03-25,data/cache/ohlcv/NKE.parquet
CAG,15329084.95,2016-11-28,2026-03-25,data/cache/ohlcv/CAG.parquet
CVX,14960942.75,2011-11-28,2026-03-25,data/cache/ohlcv/CVX.parquet
BMY,14720233.35,2016-11-28,2026-03-25,data/cache/ohlcv/BMY.parquet
KMI,14597798.65,2016-11-28,2026-03-25,data/cache/ohlcv/KMI.parquet
CRM,14461648.65,2011-11-28,2026-03-25,data/cache/ohlcv/CRM.parquet
GLW,14185627.45,2016-11-28,2026-03-25,data/cache/ohlcv/GLW.parquet
XLK,13964080.0,2011-11-28,2024-01-10,data/cache/XLK.parquet
QCOM,13046484.7,2016-11-28,2026-03-25,data/cache/ohlcv/QCOM.parquet
COIN,12973038.25,2021-04-14,2026-03-25,data/cache/ohlcv/COIN.parquet
BSX,12951404.8,2016-11-28,2026-03-25,data/cache/ohlcv/BSX.parquet
CSX,12928352.95,2016-11-28,2026-03-25,data/cache/ohlcv/CSX.parquet
META,12842213.95,2012-05-18,2026-03-25,data/cache/ohlcv/META.parquet
MOS,12605364.7,2016-11-28,2026-03-25,data/cache/ohlcv/MOS.parquet
ABT,12547104.95,2016-11-28,2026-03-25,data/cache/ohlcv/ABT.parquet
CTRA,12454787.25,2016-11-28,2026-03-25,data/cache/ohlcv/CTRA.parquet
NEM,12454459.2,2016-11-28,2026-03-25,data/cache/ohlcv/NEM.parquet
VTRS,12411680.65,2016-11-28,2026-03-25,data/cache/ohlcv/VTRS.parquet
COP,12154191.55,2016-11-28,2026-03-25,data/cache/ohlcv/COP.parquet
DIS,11901172.2,2016-11-28,2026-03-25,data/cache/ohlcv/DIS.parquet
VRT,11733907.3,2018-08-02,2026-03-25,data/cache/ohlcv/VRT.parquet
PG,11718715.9,2016-11-28,2026-03-25,data/cache/ohlcv/PG.parquet
BKR,11573481.75,2016-11-28,2026-03-25,data/cache/ohlcv/BKR.parquet
BX,11518567.3,2016-11-28,2026-03-25,data/cache/ohlcv/BX.parquet
JPM,11326016.4,2011-11-28,2026-03-25,data/cache/ohlcv/JPM.parquet
BAX,11243203.1,2016-11-28,2026-03-25,data/cache/ohlcv/BAX.parquet
USB,11193764.55,2016-11-28,2026-03-25,data/cache/ohlcv/USB.parquet
FITB,11148220.8,2016-11-28,2026-03-25,data/cache/ohlcv/FITB.parquet
LRCX,11126549.3,2016-11-28,2026-03-25,data/cache/ohlcv/LRCX.parquet
NEE,11099481.5,2016-11-28,2026-03-25,data/cache/ohlcv/NEE.parquet
DELL,11032035.75,2016-11-28,2026-03-25,data/cache/ohlcv/DELL.parquet
MDLZ,10982408.35,2016-11-28,2026-03-25,data/cache/ohlcv/MDLZ.parquet
CPB,10936962.2,2016-11-28,2026-03-25,data/cache/ohlcv/CPB.parquet
MRK,10903818.6,2016-11-28,2026-03-25,data/cache/ohlcv/MRK.parquet
ARKK,10836746.05,2014-10-31,2026-03-13,data/cache/ohlcv/ARKK.parquet
VICI,10657084.95,2018-01-02,2026-03-25,data/cache/ohlcv/VICI.parquet
XYZ,10653803.05,2016-11-28,2026-03-25,data/cache/ohlcv/XYZ.parquet
COHR,10610118.65,2016-11-28,2026-03-25,data/cache/ohlcv/COHR.parquet
APA,10564770.95,2016-11-28,2026-03-25,data/cache/ohlcv/APA.parquet
KDP,10470849.7,2016-11-28,2026-03-25,data/cache/ohlcv/KDP.parquet
LYB,10460266.5,2016-11-28,2026-03-25,data/cache/ohlcv/LYB.parquet
LUV,10381449.3,2016-11-28,2026-03-25,data/cache/ohlcv/LUV.parquet
APH,10330509.4,2016-11-28,2026-03-25,data/cache/ohlcv/APH.parquet
MO,10278145.85,2016-11-28,2026-03-25,data/cache/ohlcv/MO.parquet
GIS,10192851.45,2016-11-28,2026-03-25,data/cache/ohlcv/GIS.parquet
TFC,9970266.95,2016-11-28,2026-03-25,data/cache/ohlcv/TFC.parquet
EXC,9799446.15,2016-11-28,2026-03-25,data/cache/ohlcv/EXC.parquet
CPRT,9541845.1,2016-11-28,2026-03-25,data/cache/ohlcv/CPRT.parquet
UAL,9419840.15,2016-11-28,2026-03-25,data/cache/ohlcv/UAL.parquet
HST,9405637.7,2016-11-28,2026-03-25,data/cache/ohlcv/HST.parquet
EQT,9361984.55,2016-11-28,2026-03-25,data/cache/ohlcv/EQT.parquet
KKR,9165319.95,2016-11-28,2026-03-25,data/cache/ohlcv/KKR.parquet
WDC,9044136.6,2016-11-28,2026-03-25,data/cache/ohlcv/WDC.parquet
MRNA,9035041.4,2018-12-07,2026-03-25,data/cache/ohlcv/MRNA.parquet
MCHP,8958969.65,2016-11-28,2026-03-25,data/cache/ohlcv/MCHP.parquet
SCHW,8934766.05,2016-11-28,2026-03-25,data/cache/ohlcv/SCHW.parquet
UNH,8885705.0,2011-11-28,2026-03-25,data/cache/ohlcv/UNH.parquet
FAST,8435557.4,2016-11-28,2026-03-25,data/cache/ohlcv/FAST.parquet
GM,8434684.5,2016-11-28,2026-03-25,data/cache/ohlcv/GM.parquet
SBUX,8372906.4,2016-11-28,2026-03-25,data/cache/ohlcv/SBUX.parquet
CVS,8327780.45,2016-11-28,2026-03-25,data/cache/ohlcv/CVS.parquet
JNJ,8320473.35,2011-11-28,2026-03-25,data/cache/ohlcv/JNJ.parquet
PANW,8143160.6,2016-11-28,2026-03-25,data/cache/ohlcv/PANW.parquet
PPL,8142969.65,2016-11-28,2026-03-25,data/cache/ohlcv/PPL.parquet
MDT,8127320.3,2016-11-28,2026-03-25,data/cache/ohlcv/MDT.parquet
KR,7798635.6,2016-11-28,2026-03-25,data/cache/ohlcv/KR.parquet
UPS,7738620.0,2016-11-28,2026-03-25,data/cache/ohlcv/UPS.parquet
MS,7702177.7,2016-11-28,2026-03-25,data/cache/ohlcv/MS.parquet
SATS,7666644.0,2016-11-28,2026-03-25,data/cache/ohlcv/SATS.parquet
DOC,7619160.75,2016-11-28,2026-03-25,data/cache/ohlcv/DOC.parquet
ABBV,7582022.85,2013-01-02,2026-03-25,data/cache/ohlcv/ABBV.parquet
BA,7488494.65,2016-11-28,2026-03-25,data/cache/ohlcv/BA.parquet
GEN,7446509.55,2016-11-28,2026-03-25,data/cache/ohlcv/GEN.parquet
INVH,7391654.3,2017-02-01,2026-03-25,data/cache/ohlcv/INVH.parquet
ON,7376388.1,2016-11-28,2026-03-25,data/cache/ohlcv/ON.parquet
V,7260270.9,2016-11-28,2026-03-25,data/cache/ohlcv/V.parquet
CNC,7043052.5,2016-11-28,2026-03-25,data/cache/ohlcv/CNC.parquet
TGT,6989391.65,2016-11-28,2026-03-25,data/cache/ohlcv/TGT.parquet
AMAT,6947148.75,2016-11-28,2026-03-25,data/cache/ohlcv/AMAT.parquet
CTSH,6922740.05,2016-11-28,2026-03-25,data/cache/ohlcv/CTSH.parquet
O,6852073.6,2016-11-28,2026-03-25,data/cache/ohlcv/O.parquet
GILD,6788731.45,2016-11-28,2026-03-25,data/cache/ohlcv/GILD.parquet
CL,6786120.95,2016-11-28,2026-03-25,data/cache/ohlcv/CL.parquet
ADBE,6773966.1,2011-11-28,2026-03-25,data/cache/ohlcv/ADBE.parquet
WMB,6679679.5,2016-11-28,2026-03-25,data/cache/ohlcv/WMB.parquet
TXN,6631541.3,2016-11-28,2026-03-25,data/cache/ohlcv/TXN.parquet
CARR,6625140.65,2020-03-19,2026-03-25,data/cache/ohlcv/CARR.parquet
ANET,6581370.05,2016-11-28,2026-03-25,data/cache/ohlcv/ANET.parquet
PEP,6548294.6,2016-11-28,2026-03-25,data/cache/ohlcv/PEP.parquet
FISV,6482191.65,2016-11-28,2026-03-25,data/cache/ohlcv/FISV.parquet
IP,6466050.55,2016-11-28,2026-03-25,data/cache/ohlcv/IP.parquet
ORLY,6320904.0,2016-11-28,2026-03-25,data/cache/ohlcv/ORLY.parquet
SW,6311006.0,2016-11-28,2026-03-25,data/cache/ohlcv/SW.parquet
CSGP,6310081.5,2016-11-28,2026-03-25,data/cache/ohlcv/CSGP.parquet
CRH,6266390.05,2016-11-28,2026-03-25,data/cache/ohlcv/CRH.parquet
WY,6224501.6,2016-11-28,2026-03-25,data/cache/ohlcv/WY.parquet
FTNT,6123955.45,2016-11-28,2026-03-25,data/cache/ohlcv/FTNT.parquet
IBM,6050615.0,2011-11-28,2024-01-30,data/cache/ohlcv/IBM.parquet
TSCO,5940483.25,2016-11-28,2026-03-25,data/cache/ohlcv/TSCO.parquet
SO,5617484.1,2016-11-28,2026-03-25,data/cache/ohlcv/SO.parquet
GE,5480271.1,2011-11-28,2024-01-10,data/cache/GE.parquet
D,5037429.35,2016-11-28,2026-03-25,data/cache/ohlcv/D.parquet
DIA,4151230.0,2011-11-28,2024-01-30,data/cache/ohlcv/DIA.parquet
VTI,4129580.0,2011-11-28,2024-01-10,data/cache/VTI.parquet
MCD,3119379.0,2011-11-28,2026-03-20,data/cache/MCD.parquet
CAT,3104695.0,2011-11-28,2024-01-10,data/cache/CAT.parquet
LLY,2854786.4,2011-11-28,2026-03-25,data/cache/ohlcv/LLY.parquet
GS,2110575.0,2011-11-28,2024-01-10,data/cache/GS.parquet
COST,1886833.0,2011-11-28,2026-03-25,data/cache/ohlcv/COST.parquet
TMO,1863680.0,2011-11-28,2024-01-10,data/cache/TMO.parquet
BLK,656675.0,2011-11-28,2024-01-10,data/cache/BLK.parquet
_VIX,0.0,2011-11-28,2026-03-25,data/cache/_VIX.parquet
_VIX3M,0.0,2011-11-28,2026-03-25,data/cache/_VIX3M.parquet
